
7-11,作為台灣人的好鄰居7-11在中央後門一樣有分店！記得記下它叫學央門市，下次網購取貨一定用得到！
秈春坊,"吃素的朋友們必須知道的一家！
主食有各式麵食、飯食，他們家的口味多到會有選擇困難><
其中一項「菜飯」有六樣蔬菜加上紫米飯，只要70元就可以吃得很健康！
最後，別忘了他們家每日變換且限量的「特餐」，冬天有時會有養身的補湯系列，平日裡也可以去嘗試最多人推薦的特餐—臭豆腐系列！"
品樂,整體早餐很好吃，但是偏貴，而且可能是人手不足所以都要等很久（話說後門的早餐店都這樣），品樂的拼盤類都激推，飲料鮮奶茶有奶泡在上面，好喝又視覺也滿足！
福泉,後門7-11附近的一間小店，有賣麵食滷味和豆花剉冰，價位非常親民，便宜大碗又好吃，推推，而且店內座位蠻多的～
巧味香,餐點非常便宜，海苔飯捲只要40塊（可以加雞柳或其他肉類），很適合早上外帶飯捲當中午的午餐。
清心福全,嗯...就是大家所知道的清心
鹹水雞,"阿伯：鹹水雞有蘋果蠻特別的，辣味屬東南亞的辣。
姐姐：有時候會送水果或多送菜，辣椒蠻辣的。"
108果汁,"想吃水果又不想自己切怎麼辦？108有提供新鮮切好的當季水果（每包$15），輕鬆補充一日纖維！
果汁種類也多，大部分的水果加牛奶都可以在108找到，但私心推薦超有飽足感的地瓜薏仁牛奶～"
麥堡堡,"後門的一家經典中西式早餐點，想吃的早餐應有盡有，漢堡、蛋餅、鐵板麵，再配上一杯清爽的飲料將是啟動一天最好的方式。
特色是有將近50種套餐任君選擇，便宜到可以用一顆50元銅板就能擁有主餐配餐加飲料的三重享受，想省錢又想吃飽的朋友可以來吃吃看喔～"
幸福小館,一間有賣各式炒飯和簡餐的店，價格在中央算是非常便宜（約 70 ～ 80 元），炒得也不算難吃只是有點鹹，內用有飲料和湯品可以享用。（可以在點餐時告知少醬油少鹽）
自己煮,中央校內唯二小火鍋店在這裡，有含飲料冰品滷肉飯的自助吧。鍋物的選擇多元，火鍋料可以換青菜，補充外食族很少吃到的蔬菜類。不知道吃什麼又不想吃太油就可以來吃喔！
太極飯糰,一家在自己煮外面的小攤販，賣了各種口味的飯糰，40元一個飯糰，加飯+5元、加蛋+5元，因此50元就能讓你吃很飽！！！只營業到下午，晚上沒有開
米豆,價位落在120-150之間，涼麵、白飯、冰淇淋、紅茶都是吃到飽，主餐還有包含3道小菜+一份茶碗蒸或蛋+湯，因為主餐分量很足，所以如果兩個人點一份套餐（共餐加30元），就可以用最便宜1個人75元吃到物超所值的餐點（還可以吃冰淇淋^^），超划算的～
大嗑蔬菜蛋餅,你好奇蛋餅的天花板在哪嗎？咬開酥脆的外皮，感受內部飽含新鮮高麗菜汁，清爽不膩，多樣化的配料滿足你的各種選擇，份量豐盛。對很多人來說，吃一份蛋餅就能直接抵掉一餐了。若是還不夠也能加點套餐！以蛋餅來說價格偏高，但六七十元吃一餐不香嗎？
櫥窗,"想來點小奢侈又不想花大錢，來櫥窗就對了！價格在150~180元左右，吃牛肉的同學們可以試試看牛肉系列"
紅樓自助餐,相較於香米有點小貴，但是用餐時間還是蠻多師生選擇買紅樓的自助餐，但如果同樣價錢，香米會是比較吃得飽的選擇。
大中央厚切牛排,牛排雞排都不錯吃、而且有吐司吃到飽，巧克力醬超讚！幾乎都有位置，找不到位置的話可以來這家！
迷路,"覺得如果想吃義大利麵就來這間，絕對不會被雷到，然後他們玉米濃湯超好喝不誇張"
漢林大漢堡,算是蠻傳統的早餐店，但是特色是有賣飯糰，奶茶的評價很好。
飽咖咖,內用位置多，價格也不貴，吃飯時間如果找不到位置，來飽咖咖就對了！
花路,料很多，醬不夠可以自己加。喜歡拌飯的朋友不要錯過了。
麥克小姐,中央最大份量美式餐廳，價格160起跳，份量非常大，就算是男生也可能吃不完（特別是漢堡類）。中央部分族群的愛店，如果對大份量的餐廳很有興趣可以考慮看看。
新福麵館,經典牛肉麵必推，沒有很辣，湯的味道偏甜一點。麵很Q，可以自選麵條，湯麵類都不錯。
萊客堡,"系隊聚餐的好地方，就早餐店來說，座位多品項選擇多，也還蠻好吃的！
不錯的平價早餐店，雖然生意太好的時候內用可能會送錯餐XD"
白胡子,賣鐵板麵和平價的排餐（雞豬牛都有），店裡有免費的飲料濃湯，也可以自己烤蒜味厚片，免費無限量供應，餐點不錯也很平價，推推
誠食堂,裡面的品項不多，主要是賣蓋飯、拌麵、牛肉麵等等，價位算是有點小高（120、130元左右），每一個餐都會附毛豆（算是小菜的部分）和飲料（紅茶or冬瓜茶），不過牛肉麵真的很好吃！推推
田園美食屋,餐點選擇少，但是每樣都很好吃。一份套餐包含菜、飯、湯、飲料和主餐，主餐很下飯！上完一整天的課就來田園犒賞一下自己吧。
惟客美而美,1~100號套餐給你選擇，有選擇困難的同學可能要避免來這家店（開玩笑的），每一份餐點，份量足夠，擺盤精緻，食物美味，重點是套餐飲料還可以選可樂、雪碧等等，肚子很餓的時候來惟客就對了
萊姆斯,滿200元會送一盤薯條！聽說買中杯奶茶有機會免費升級大杯的XD 店內很常播放體育賽事，品項就是蠻早餐店，中午去的時候通常人很多，要等有點久QAQ
Dr.pro,體育用品店，販售運動用品，球拍穿線（羽球、網球）
我家,小雜貨店，什麼都有賣（還蠻便宜的），門口有一隻可愛的臘腸狗，可以跟他玩，有賣水果
食間,價格方面在中央裡算很便宜，還有免費的湯可以喝到飽，餐內環境乾淨，也有很多位子，個人很愛它的綠咖哩，不貴又吃得很飽。
負麵能量,好吃的鍋燒麵在這裡！內用座位稍微少了一點，常看到店門大排長龍，適合外帶。雖然對於胃口大的人分量稍微少了一些，但是價格實惠，有麵有肉有菜，CP值超高。
哈堡堡,品項非常多，不用怕沒有想吃的東西，吐司、漢堡、沙拉、手卷、蛋餅、義大利麵、沙拉應有盡有，飲料的選擇也很多樣，我個人很喜歡喝他的果汁。而且哈堡堡還有會員累計點數，如果常來吃的話很建議辦會員！
醬泥熊,一間專賣各式來自日、韓的飲料零食泡麵的連鎖店，也有賣台灣的就是了。價格經濟實惠，喜歡外國泡麵的一定不能錯過！（私心推薦UFO炒麵）
27簡餐,在一個隱密的地方，一家賣台式和新加坡料理，一個簡餐大概130元左右，有2～3個小菜（不確定），不過可以吃很飽！Life鵝覺得它的湯很好喝，有家的感覺XD
森呼吸豆花,文青風的小攤子，可以選4種料，是蠻多人的點心選擇，還可以集點。
八方雲集,當到了後門卻還是不知道該吃什麼時，八方雲集將是你不可或缺的選擇，好吃的鍋貼與水餃，口渴時來一杯清爽的豆漿，想吃辣、想吃咖哩，這裡也一樣滿足你。
全家便利商店,這家全家是中壢龍凱店，是說校外的全家有賣酒～而且門口有扭蛋機！
Backdoor Cafe,店裡面沒有提供MENU，要去吧台點餐。所有品項，像是手沖單品咖啡、義式咖啡、甜點、麵包都寫在吧台的黑板上。手工甜點、麵包都是每天新鮮出爐，看起來非常好吃～～下午茶好去處+1
喵～上菜囉,"中央少數可以在店裡光明正大撸貓的店，店裡有五隻貓，似乎是每一天會有一隻貓出來接客（？）
裡面有正餐和點心，正餐都是套餐，有主菜、小菜、湯和飯，價位是120上下。
點心的部分蠻多種的，烤布雷、小蛋糕、堅果塔等等，可以來享用下午茶！"
