
章魚燒,章魚燒品質依店家心情，價錢略高，cp 值較不划算，但嘴饞的時候還是可以買來吃。
豪味堡,早上趕時間的話這間是首選，因為幾乎不太排隊，但東西普普，果醬吐司比較不踩雷。
一品鍋,就是標準的火鍋店，口味選擇上比自己煮（另一家鍋物店）還要多很多，內用可享用滷肉飯、飲料、冰淇淋、爆米花吃到飽。
Main蛋,這學期新開的店，位於一品鍋二樓，擁有中央最大片的蒸蛋，主打蒸蛋飯。餐點以飯類搭配肉食為主，肉類煎、炸的很香～價位適中，歡迎各位來嚐鮮！
香恬園,"老闆娘話很多很好客，簡單來說就是把香米老闆娘換成一個超有趣的人，怪味雞飯其實不會怪，挺好吃"
宵夜屋,"有很多菜色可以選擇，可以盡情挑選喜歡的菜色跟份量，但是要注意價錢的部分是算重量的，小心不要一次夾太多不然會荷包失血喔～"
來來炒飯,"超級好吃的炒飯（推薦鳳梨蝦仁和牛肉炒飯）店內空間很大，不會過於擁擠。還有免費的甜品（愛玉、仙草、紅豆湯）跟熱湯可以無限續加，算是中央 cp 值很高的店。"
OK,"開24小時的宵夜救星。如果一不小心工作到半夜，其他的店都關的時候，還能去OK買泡麵吃～如果網購東西也可以選擇寄來這裡（尤其OK常常免運）"
粥王,價格實惠分量超大，食量小的人甚至可以分成兩餐吃，口味也不會太清淡，也有麵可以選～（照片左前方的攤販）
翔食堂,老闆雖然對員工還蠻兇的，但炒飯跟湯都十分不錯，尤其是泡菜培根炒飯；此外，他們也有推出特餐，有著雙主菜的特餐是大食客的口袋餐點。
炸蛋,炸蛋非常酥脆，口味也很多，個人推薦雙蛋炸蛋，兩顆蛋吃起來很滿足。蛋可以選半熟或全熟，怕滴到身上的可以點全熟試試。優惠的話，三個原味會折扣五塊錢，跟小惡魔的特定飲料一起點也會有折扣，不過品項似乎會換。
小惡魔,飲料種類滿多的，果汁、特調、汽水、冰沙類的都有，內有座位可以一群人坐著聊天，通常會順便買旁邊的炸蛋，是宵夜的好選擇。
山頂丼人,專賣各種丼飯，價格多在百元初，分量很足夠，吃不夠可以加飯。另外也有烏龍麵可以選擇。老闆娘人很親切。
咖哩老師,店名都叫咖哩老師了當然是賣咖哩的囉。主食選擇有拉麵、蛋包飯和芝麻冷麵，不要問我為甚麼有冷麵因為我也不知道XD。算是中價位，但要加料的話很容易會破百。
霸王炸雞,宵夜街的炸物店之一，部分炸物的價格較其他店家便宜，老闆人很友善喜歡跟同學們聊天。
星pasta,宵夜街的一家義大利麵店，品項滿多的，主食可以選筆管麵、義大利麵或是燉飯，算好吃但價格稍高。
比大爺,在宵夜街的滷味，可以選要湯的還是乾的～如果想要吃健康一點的話這邊有很多菜XD每個品項的單價滿高的，夾太多可能會對荷包造成傷害。
雞叔叔,宵夜街的明星炸物店，選擇障礙的救星！如果一群人站在宵夜街口，猶豫宵夜該買什麼的話，去雞叔叔就對了！
蜜汁燒烤,性價比還不錯的店家，在宵夜裡面，藉由店家的買五送一，常常可以把宵夜的花費省下一些去買個飲料配；另外，它的調味也還不錯，常常一口一口不知不覺間就吃完了。
客臨,店門口時不時會出現一隻很可愛的貓貓，晚上宵夜想吃清淡一點的時候，11點前都還有，非常推薦買個鹹蛋皮蛋粥；另外，它們還有個隱藏菜單是牛肉炒飯，可以去試試看（菜單上可沒有唷）
瑞麟美而美,價格實惠，大冰奶出事率不高，且出餐速度很快的早餐店。
京城韓式湯飯,開到很晚，八、九點還可以有晚餐吃，烤肉的評價很不錯。
喜樂廚房,午餐時間店內會爆滿，生意很好等餐時間會久一些，餐點中偏上而且便宜！推總匯和鍋燒意麵
燒餅窯,雖然叫燒餅窯但其實沒有賣燒餅，最常點芋圓嫩仙草奶冰的，喜歡仙草的絕對要來！
五折天,即期品販賣店，並以超低的價格兜售，不管是好吃的韓國泡麵、進口零食、古早味糖果，都可以在這裡買到，撿便宜的同時又可以大飽口福，趕快去朝聖一下！
夠義式,義大利麵跟燉飯的價格統一，而且口味很多樣，份量很大，肉也給很多，內用紅茶可以喝到飽。當然還有一些其他的餐點，個人很推薦輕食健康餐，紫米飯、雞肉、地瓜、水果、白煮蛋都很好吃，而且還能顧健康，讚
香煎小舖,份量夠一定吃得飽，能加麵/飯，推薦麵類，飯類吃起來稍冷，奶茶便宜好喝
無敵蛋餅,"中央的代表店之一，之前叫做好兇蛋餅，但商標因為沒註冊被中原的店家偷去，所以因而改名，它雖然沒有到很便宜，但晚上開到這麼晚的宵夜（晚上9點開到隔天中午）就屬於它了！如果有閒錢的話，也可以去挑戰一下100元的蛋餅唷，很豐盛的！PS 它的奶茶蠻適合配其它宵夜的，便宜又好喝～"
早點,中央有賣白饅頭和包子的早餐店，算是便宜又好吃，帶30元就能解決一餐，在店裡可以聽到滿滿的客家話，可以跟著老闆和老闆娘學客語（是圖中無敵蛋餅後面的早餐店哦）
麻油雞,每次經過聞起來都超香，他的炒飯也很好吃，如果吃素的話可以請他煮素的，老闆人很好推推！
花茶大師,學期中出示學生證可以折價，但店家不會主動提醒，跟學校附近的其他飲料店比起來真的很不甜，建議可以習慣甜度高一階。
麥味登,看起來很有質感（？，但在早餐店中價格偏中上，如果想要悠閒地來個早午餐的話，推薦來這間
滿食記,cp值超級高，100元以下就能吃得很飽，奶茶不錯喝，可以無限加飯
E&F,提供健康的水煮餐，有蛋有肉又有很多菜，沒有多加調味，喜歡清淡口味或是想要吃得健康的同學們可以來試試！
羅卡時光,好吃的健康餐，對運動和養生的人是很好的選擇，雖然價格稍嫌偏貴，但在餐點品質上算是一等一的好，而且蜂蜜無限加，喜歡天然食品的同學可以來試試喔～
萊特,中央四大鹹水雞之一，老闆人很好都會跟你聊天（或幫你加料），隨然價錢上來說可能會有點偏貴，但味道嚐起來絕對是物超所值。
饕客,當你想吃健康點的時候，可以去自己多夾菜，選擇適合的調味，還蠻多人會去外帶跟內用的，推薦牛肉湯跟油蔥調味; 此外，若不想自己一個一個挑食材，也有組合好的餐點，直接拿菜單畫就好了，有非常多的選項。
東東生鮮大水餃,老闆娘人很好，餃類是分10/15/20顆賣，單顆水餃滿大的，尖峰時段會很多人，需要等待比較長的時間喔。
夏克堤,集點卡集滿十點可以兌換一杯45元內的飲品，有時會有限時特價的品項，奶茶之類的也都不錯喝！
立橙,有集點卡$30以上一杯集一點，集滿可以折價，是我在中央最常喝的手搖杯，推推～
一億甜甜圈,難得在下午有營業的店，賣各種小點心，從蔥抓餅、韭菜盒到甜甜圈一應俱全，推薦可以來試試他們只在接近晚餐時間才供應的餡餅。
臭豆腐,除了賣臭豆腐之外還有賣麵線，常見的口味，價格也很平價合理。
真口味餐車,餐車是宵夜街四家炸物店之一，平時晚上10、11點就可以看到人潮聚集在小小的餐車前面，是一對老夫婦在經營。大推他們的雞排和袖珍菇，價格合理又好吃。只是吃完可能又要多跑兩圈操場了QQ
香城燒臘,"厭倦了校內自助餐嗎？覺得校內自助餐又油又貴還人擠人嗎？你的救星來了！香城燒臘便宜也夠吃，內用還能加一次白飯！雖然內用空間稍嫌狹小，但若選外帶出餐速度超快！非常適合趕時間又想省錢的你！"
影印店豆花,賣飲料冰品，還可以影印文件（但聽說有可能中毒），內有座位可以三五好友坐著聊天，冬天也有賣熱的。
來客,"所有餐點都是主餐+三樣菜還有蒸蛋，每份可以加菜加飯各一次（等於吃兩份！）覺得點120的雙拼CP值超高，只是菜偏油，而且沒有素食，但餐點好吃、內用的熱茶超好喝！"
出海抓魚（臻功夫）,有蔥抓餅&鹹水雞，雖然熟食的出現時機很神奇，不過兩種都好吃。聽說中式跟西式抓餅配的醬料不同，大推九層塔蔥抓餅（他的鹹水雞都會多送幾樣菜，常常點50元就一大包了很划算！）
茶學苑,"中央新開的飲料店，品項很多種，而且只要是中央學生的話出示學生證，50元以上飲品可以折5元！不定時還會有打彈珠的小遊戲可以折價，算是很佛心又好喝的飲料店，推薦給大家～"
傻師傅湯包,宵夜的好去處！因為有座位！店內往更裡面走還有一個容得下10人左右的空間！一碗暖暖的酸辣或排骨湯、幾顆熱呼呼的小籠包，很適合跟朋朋練團結束想吃宵夜的你哦！除此之外老闆人也很好，之前有被請吃過水果還有酸辣湯～
韓林,"適合食量大的人，可以無限加飯吃得很飽，可以試試小鍋的辣醬雞"
內卡小館,這裡是很適合朋友三五成群來聊天敘舊的地方，如果想要喝調酒的話來這裡就對了，店裡裝潢和氛圍都很棒～
雙寶爸,中央難得的涼麵店，天氣熱或是想吃涼涼的食物時的最佳選擇，推薦他們家清爽的南洋口味涼麵！ 不想吃涼麵的人也可以來他們家吃拉麵，只要100出頭就能吃到！
太祖魷魚羹,中央唯一一家魷魚羹，配合米粉非常好吃，除了魷魚羹之外也有各種羹類，像是羊肉羹、花枝羹等等；另外，也有賣肉燥飯跟炒青菜，都還蠻划算的。冬天的時候，店家也會跟風推出麻油雞麵線。
